utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos,SignalType,ArrivalTimeNanosSinceGpsEpoch,ReceivedSvTimeNanosSinceGpsEpoch,RawPseudorangeMeters,RawPseudorangeUncertaintyMeters
1717218048000,155831522000000,0,0.0,-9223372036854775808,0.0,0.0,-10.232075820822024,37.98755641705346,196.0,11,0.0,1,97644.0,9.0,39.4,-29.286197662353516,0.550000011920929,16,0.0,0.0,1.57542003E9,0,0.0,0.0,0,0.0,1,0.97,35.8,0.0,0.0,0.0,0.0,C,557813102625897,GPS,-9.2232162053327759E18,-9.2232107819999027E18,-1.625874292613627E12,2.6981321219999996,
1717218048000,155831522000000,0,0.0,-9223372036854775808,0.0,0.0,-10.232075820822024,37.98755641705346,196.0,17,0.0,1,928728.0,13.0,35.2,183.5287322998047,0.6184999942779541,16,0.0,0.0,1.57542003E9,0,0.0,0.0,0,0.0,1,0.97,31.6,0.0,0.0,0.0,0.0,C,557813102625897,GPS,-9.2232162053327759E18,-9.2232107819990712E18,-1.6258745418874583E12,3.8973019539999996,
1717218048000,155832522000000,0,0.0,-9223372036854775808,0.0,0.0,-15.54715292221636,41.610277101654816,196.0,6,0.0,1,937515.0,24.0,29.2,245.21241760253906,0.6815000176429749,16,0.0,0.0,1.57542003E9,0,0.0,0.0,0,0.0,1,0.15,25.599999999999998,0.0,0.0,0.0,0.0,C,557813220661782,GPS,-9.2232162043327754E18,-9.223210781999062E18,-1.6255747520388518E12,7.195018992,
1717218048000,155832522000000,0,0.0,-9223372036854775808,0.0,0.0,-15.54715292221636,41.610277101654816,196.0,11,0.0,35,3.0,10.0,38.4,-28.505992889404297,0.7050000429153442,16,0.0,0.0,1.57542003E9,0,0.0,0.0,0,0.0,1,0.15,34.8,0.0,0.0,0.0,0.0,C,557813220661782,GPS,-9.2232162043327754E18,-9.223210782E18,-1.6255744708383228E12,2.99792458,
1717218048000,155832522000000,0,0.0,-9223372036854775808,0.0,0.0,-15.54715292221636,41.610277101654816,196.0,17,0.0,35,9.0,8.0,39.6,183.47164916992188,0.703000009059906,16,0.0,0.0,1.57542003E9,0,0.0,0.0,0,0.0,1,0.15,36.0,0.0,0.0,0.0,0.0,C,557813220661782,GPS,-9.2232162043327754E18,-9.223210782E18,-1.6255744708383228E12,2.398339664,
1717218048000,155832522000000,0,0.0,-9223372036854775808,0.0,0.0,-15.54715292221636,41.610277101654816,196.0,14,0.0,1,457111.0,16.0,33.9,108.0467529296875,1.1100000143051147,16,0.0,0.0,1.59806246E9,0,0.0,0.0,0,0.0,3,-0.76,29.9,3772.765625,25.256175994873047,0.0,0.0,C,557813220661782,GLONASS,-9.2232162043327754E18,-9.2232107819995433E18,-1.6255746077547375E12,4.796679328,
1717218050000,155833522000000,0,0.0,-9223372036854775808,0.0,0.0,-11.616645036221408,24.746474952638614,196.0,5,0.0,35,16.0,14.0,34.1,-631.9449462890625,0.06200000271201134,16,-0.0,1902.9177342976868,1.57542003E9,0,0.0,0.0,0,0.0,1,-0.34,30.5,0.0,0.0,0.0,0.0,C,557815103536625,GPS,-9.2232162033327759E18,-9.223210782E18,-1.6252746785338167E12,4.197094412,
1717218050000,155833522000000,0,0.0,-9223372036854775808,0.0,0.0,-11.616645036221408,24.746474952638614,196.0,6,0.0,35,11.0,35.0,26.4,245.1648406982422,0.8734999895095825,16,0.0,0.0,1.57542003E9,0,0.0,0.0,0,0.0,1,-0.34,22.799999999999997,0.0,0.0,0.0,0.0,C,557815103536625,GPS,-9.2232162033327759E18,-9.223210782E18,-1.6252746785338167E12,10.49273603,
1717218050000,155833522000000,0,0.0,-9223372036854775808,0.0,0.0,-11.616645036221408,24.746474952638614,196.0,9,0.0,1,297968.0,423.0,25.7,-80.24684143066406,0.9860000014305115,16,0.0,0.0,1.57542003E9,0,0.0,0.0,0,0.0,1,-0.34,22.099999999999998,0.0,0.0,0.0,0.0,C,557815103536625,GPS,-9.2232162033327759E18,-9.223210781999702E18,-1.6252747678671724E12,126.81220973399999,
1717218050000,155833522000000,0,0.0,-9223372036854775808,0.0,0.0,-11.616645036221408,24.746474952638614,196.0,11,0.0,35,5.0,13.0,35.5,-28.4866886138916,0.05340000241994858,16,-0.0,1902.9177342976868,1.57542003E9,0,0.0,0.0,0,0.0,1,-0.34,31.9,0.0,0.0,0.0,0.0,C,557815103536625,GPS,-9.2232162033327759E18,-9.223210782E18,-1.6252746785338167E12,3.8973019539999996,
