,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos,SignalType,ArrivalTimeNanosSinceGpsEpoch,ReceivedSvTimeNanosSinceGpsEpoch,RawPseudorangeMeters,RawPseudorangeUncertaintyMeters,Constellation,SvName,UnixTime,Epoch,SvPositionXEcefMeters,SvPositionYEcefMeters,SvPositionZEcefMeters,SvClockBiasMeters,SvClockDriftMetersPerSecond
0,1717218061000,13105000000,0,0.0,-9223372036854775808,0.0,0.0,0.0,0.0,18.0,05,0.0,16431,536479095326935.0,17.0,40.41838836669922,-877.79721232046,0.15,25,-5907.237815960566,0.0015397360548377,1575420030.0,0,0.0,0.0,0,0.0,1,35.23455810546875,35.41838836669922,0.0,2000000001.0,0.0,2000000001.0,C,307670740178131,GPS,-9.223372023749776e+18,-9.223268320904672e+18,-31089330834745.824,5.096471786,G,G05,2024-06-01 05:01:01+00:00,0,6135406.056964813,23897646.758879155,-9894769.693618579,-52385.27445113585,-0.0004089894782739068
1,1717218062000,14105000000,0,0.0,-9223372036854775808,0.0,0.0,0.0,0.0,18.0,05,0.0,16431,536480095329862.0,22.0,37.60188293457031,-877.4891069134937,0.15,25,-6785.015213861622,0.0021294702310115,1575420030.0,0,0.0,0.0,0,0.0,1,34.6890754699707,32.60188293457031,0.0,2000000001.0,0.0,2000000001.0,C,307671741851246,GPS,-9.223372022749778e+18,-9.223268319904669e+18,-31089330835973.773,6.595434076,G,G05,2024-06-01 05:01:02+00:00,1,6135150.660048255,23898872.185215488,-9891907.593680145,-52385.27445113585,-0.0004089894782739068
2,1717218063000,15105000000,0,0.0,-9223372036854775808,0.0,0.0,0.0,0.0,18.0,05,0.0,16431,536481095332787.0,14.0,43.286991119384766,-877.326669925706,0.15,25,-7662.639507598356,0.0011066650040447,1575420030.0,0,0.0,0.0,0,0.0,1,34.6890754699707,38.286991119384766,0.0,2000000001.0,0.0,2000000001.0,C,307672737755976,GPS,-9.223372021749776e+18,-9.223268318904669e+18,-31089330836587.742,4.197094412,G,G05,2024-06-01 05:01:03+00:00,2,6134895.344265745,23900097.268736623,-9889045.28379782,-52385.27445113585,-0.0004089894782739068
3,1717218064000,16105000000,0,0.0,-9223372036854775808,0.0,0.0,0.0,0.0,18.0,05,0.0,16431,536482095335712.0,16.0,41.00497055053711,-877.7088705931528,0.15,25,-8540.295709348698,0.0014391869772225,1575420030.0,0,0.0,0.0,0,0.0,1,34.6890754699707,36.00497055053711,0.0,2000000001.0,0.0,2000000001.0,C,307673736969975,GPS,-9.223372020749778e+18,-9.223268317904664e+18,-31089330837508.71,4.796679328,G,G05,2024-06-01 05:01:04+00:00,3,6134640.109570668,23901322.00941257,-9886182.764025489,-52385.27445113585,-0.0004089894782739068
4,1717218065000,17105000000,0,0.0,-9223372036854775808,0.0,0.0,0.0,0.0,18.0,05,0.0,16431,536483095338657.0,21.0,38.11065673828125,-877.1146770461341,0.15,25,-9417.78470585318,0.0020083198323845,1575420030.0,0,0.0,0.0,0,0.0,1,34.10702896118164,33.11065673828125,0.0,2000000001.0,0.0,2000000001.0,C,307674739984898,GPS,-9.223372019749776e+18,-9.22326831690466e+18,-31089330838429.67,6.295641617999999,G,G05,2024-06-01 05:01:05+00:00,4,6134384.95591151,23902546.407235015,-9883320.034366716,-52385.27445113585,-0.0004089894782739068
5,1717218066000,18105000000,0,0.0,-9223372036854775808,0.0,0.0,0.0,0.0,18.0,05,0.0,16431,536484095341583.0,22.0,37.26612091064453,-877.8058692644167,0.15,16,-10295.335440745004,3.402823466385289e+38,1575420030.0,0,0.0,0.0,0,0.0,1,35.604225158691406,32.26612091064453,0.0,2000000001.0,0.0,2000000001.0,C,307675739788589,GPS,-9.223372018749778e+18,-9.223268315904657e+18,-31089330839350.637,6.595434076,G,G05,2024-06-01 05:01:06+00:00,5,6134129.88325191,23903770.462123748,-9880457.094993023,-52385.27445113585,-0.0004089894782739068
6,1717218067000,19105000000,0,0.0,-9223372036854775808,0.0,0.0,0.0,0.0,18.0,05,0.0,16431,536485095344497.0,24.0,36.239479064941406,-876.9696902760861,0.15,16,-11172.3478463824,3.402823466385289e+38,1575420030.0,0,0.0,0.0,0,0.0,1,34.44438552856445,31.239479064941406,0.0,2000000001.0,0.0,2000000001.0,C,307676739780358,GPS,-9.223372017749776e+18,-9.223268314904658e+18,-31089330839964.61,7.195018992,G,G05,2024-06-01 05:01:07+00:00,6,6133874.891543849,23904994.17405474,-9877593.945944648,-52385.27445113585,-0.0004089894782739068
7,1717218067000,19105000000,0,0.0,-9223372036854775808,0.0,0.0,0.0,0.0,18.0,11,0.0,16431,536485100229157.0,16.0,41.532257080078125,-277.20067940098454,0.15,17,-2684.3654570478207,0.0965012549777401,1575420030.0,0,0.0,0.0,0,0.0,1,34.44438552856445,36.532257080078125,0.0,2000000001.0,0.0,2000000001.0,C,307676739780358,GPS,-9.223372017749776e+18,-9.223268314899769e+18,-31089332304601.863,4.796679328,G,G11,2024-06-01 05:01:07+00:00,6,5598439.993750321,19281522.695891835,17438129.401682526,-202532.95075828736,-0.0025902666957327448
8,1717218067000,19105000000,0,0.0,-9223372036854775808,0.0,0.0,0.0,0.0,18.0,20,0.0,16431,536485102722002.0,12.0,45.27012634277344,-574.6259907499743,0.15,25,-6743.41202752547,0.0008807634585537016,1575420030.0,0,0.0,0.0,0,0.0,1,34.44438552856445,40.27012634277344,0.0,2000000001.0,0.0,2000000001.0,C,307676739780358,GPS,-9.223372017749776e+18,-9.223268314897278e+18,-31089333051809.383,3.597509496,G,G20,2024-06-01 05:01:07+00:00,6,1927775.865617746,26550681.471330408,1155287.163589637,112280.42460850412,-0.0004089894782739068
9,1717218068000,20105000000,0,0.0,-9223372036854775808,0.0,0.0,0.0,0.0,18.0,05,0.0,16431,536486095347395.0,20.0,38.76659393310547,-877.437165249753,0.15,17,-12049.809433313225,0.0970090780529079,1575420030.0,0,0.0,0.0,0,0.0,1,33.2014274597168,33.76659393310547,0.0,2000000001.0,0.0,2000000001.0,C,307677740775472,GPS,-9.223372016749778e+18,-9.223268313904652e+18,-31089330841192.56,5.99584916,G,G05,2024-06-01 05:01:08+00:00,7,6133619.980741972,23906217.54299063,-9874730.587293163,-52385.27445113585,-0.0004089894782739068
10,1717218068000,20105000000,0,0.0,-9223372036854775808,0.0,0.0,0.0,0.0,18.0,11,0.0,16431,536486100230076.0,14.0,43.1617431640625,-276.8441598645277,0.15,17,-2961.229353960488,0.0962695747502965,1575420030.0,0,0.0,0.0,0,0.0,1,33.2014274597168,38.1617431640625,0.0,2000000001.0,0.0,2000000001.0,C,307677740775472,GPS,-9.223372016749778e+18,-9.22326831389977e+18,-31089332304908.85,4.197094412,G,G11,2024-06-01 05:01:08+00:00,7,5596582.285554641,19280321.939019553,17440050.366276134,-202532.95075828736,-0.0025902666957327448
