utcTimeMillis,x,y,z,vx,vy,vz
1593045251447.0,-2470070.274277015,-3941827.758686822,3536378.2483308264,-200639.19838037642,-320186.26179715554,287253.4981410639
1593045252447.0,-2647437.810560048,-4224875.756838293,3790313.4925171435,-124682.85418728407,-198968.19594447268,178506.944360542
1593045253447.0,-2706516.388192303,-4319153.29239912,3874895.52210236,-77857.02118215748,-124239.4793831323,111466.97210603731
1593045254447.0,-2724112.4531346112,-4347231.4936731765,3900087.1250537112,-46950.088907058336,-74916.0397288251,67217.36671536214
1593045255447.0,-2724586.226849784,-4347985.898131771,3900764.262779062,-26656.902248569702,-42530.81621367842,38162.07590592732
1593045256447.0,-2718525.682564498,-4338311.47718691,3892085.046232671,-13718.849108793562,-21884.43481254799,19637.79595844928
1593045257447.0,-2710988.217867524,-4326278.50691459,3881289.6572873774,-5943.715237224274,-9478.789121700916,8506.369286531197
1593045258447.0,-2704306.8275668523,-4315611.855960756,3871719.910295446,-1685.1973541929947,-2685.234810551716,2409.9474756949876
1593045259447.0,-2699300.133409527,-4307618.108561539,3864550.0768167563,334.96353331595014,537.2635676651621,-482.5566045488381
1593045260447.0,-2695981.384778168,-4302314.78975961,3859796.32865553,1058.032363502521,1694.0798591849664,-1521.2583629923722
1593045261447.0,-2694016.5208717585,-4299166.645184057,3856976.837755312,1120.7539556063734,1799.3993845610892,-1616.087278545625
1593045262447.0,-2692994.995967545,-4297518.598604984,3855503.6892473362,910.5366312614461,1469.1329927223585,-1320.4830798595124
1593045263447.0,-2692560.1034029983,-4296802.161514534,3854866.091475893,637.0181314359431,1035.582510368736,-932.8878245691051
1593045264447.0,-2692448.8360378,-4296600.078048837,3854689.9343488077,395.5374645779912,651.3274147805975,-589.6218805102126
1593045265447.0,-2692488.55906436,-4296640.073054627,3854730.0558874425,217.4816503777436,366.8112086578009,-335.7094240095598
1593045266447.0,-2692582.4306670236,-4296765.813550526,3854848.1793729,100.74216415237855,180.03538559808143,-169.18335408240495
1593045267447.0,-2692682.2183342827,-4296897.9470051415,3854972.6646836107,31.45279449296848,71.54595253378706,-71.6447199755198
1593045268447.0,-2692766.0095551196,-4297002.971046512,3855073.856922692,-4.369078648298348,17.20272951616922,-21.315002956238352
1593045269447.0,-2692827.6478643906,-4297072.399537741,3855143.606791284,-19.50259285680919,-5.036758983400592,-0.6972251021778
1593045270447.0,-2692870.87407645,-4297112.1566713685,3855186.539864024,-23.69150384879435,-10.581240208896045,4.04365545427607
1593045271447.0,-2692903.2913198806,-4297131.046451642,3855211.467094737,-23.533910183744073,-7.851385011836306,2.1034972367178852
1593045272447.0,-2692926.4791337475,-4297135.646629348,3855223.5292045563,-21.377298172116713,-3.0331150665281963,-2.4876546985369394
1593045273447.0,-2692944.1510494733,-4297131.08962128,3855228.48872665,-18.847147075072627,2.4079038349839745,-6.730731080686488
1593045274447.0,-2692959.878569338,-4297122.070591301,3855229.2095439285,-17.3713643205367,6.633770380284166,-10.54656466194903
1593045275447.0,-2692974.760260436,-4297110.733148016,3855228.0193333155,-16.60800578695566,10.192355839382603,-13.098295256063647
1593045276447.0,-2692989.0648334245,-4297098.746687544,3855226.2998316907,-16.32416352438735,12.470625300104961,-14.76036971890549
1593045277447.0,-2693004.260960431,-4297087.308629796,3855225.094232,-16.4161170652299,14.007935370608154,-15.475028579533019
1593045278447.0,-2693019.345997104,-4297076.134653159,3855224.0529274927,-16.71323716707184,14.298181117992568,-15.875871435168659
1593045279447.0,-2693033.225998035,-4297065.485305595,3855222.543721242,-16.591061193668637,14.799490230178105,-16.0379394925127
1593045280447.0,-2693048.3942560437,-4297055.4553275285,3855222.4750383366,-17.158389658462983,14.50981745307318,-15.851540648797615
1593045281447.0,-2693064.450587162,-4297046.061187187,3855221.942361038,-18.506208902418592,14.567599525839904,-15.722466262112476
