utcTimeMillis,ax,ay,az,gx,gy,gz
1593045251447,-2692784.685404088,-4297242.059229148,3855235.1499086306,-2692779.8745977883,-4297235.476684882,3855229.6681380817
1593045252447,-2692784.6272247713,-4297242.095456383,3855235.178902857,-2692779.883408259,-4297235.47762689,3855229.6577766873
1593045253447,-2692784.649001586,-4297242.08994418,3855235.1720454344,-2692779.883208116,-4297235.478070733,3855229.6573323198
1593045254447,-2692784.644893118,-4297242.083821037,3855235.1866061944,-2692779.881061655,-4297235.478267949,3855229.6586514963
1593045255447,-2692784.715007111,-4297241.320629071,3855236.0865719346,-2692779.9003633717,-4297235.503550676,3855229.620833285
1593045256447,-2692784.2855471917,-4297241.630701622,3855235.9029150163,-2692779.9217680916,-4297235.518345241,3855229.6084643807
1593045257447,-2692783.2179884203,-4297242.577746069,3855235.7991771554,-2692779.7788249734,-4297235.366495278,3855229.844706608
1593045258447,-2692782.7688784767,-4297242.747122304,3855235.869678611,-2692779.7026838986,-4297235.220976908,3855230.066507107
1593045259447,-2692782.7328801616,-4297242.3292670045,3855236.4151769555,-2692779.722895031,-4297235.222936899,3855230.0261964146
1593045260447,-2692784.33921966,-4297240.9971411275,3855236.72516882,-2692779.8696447806,-4297235.4400936775,3855229.687785403
1593045261447,-2692785.6885848637,-4297240.651220039,3855236.082090974,-2692779.9528641966,-4297235.57569124,3855229.5085987933
1593045262447,-2692786.2340149446,-4297240.562700282,3855235.828766517,-2692779.9670744203,-4297235.60148222,3855229.4532720945
1593045263447,-2692785.4955219985,-4297240.921167598,3855235.9810187113,-2692779.922788211,-4297235.542782679,3855229.540103157
1593045264447,-2692784.8312481265,-4297241.110581719,3855236.0848555258,-2692779.9024570556,-4297235.518915622,3855229.645982873
1593045265447,-2692784.552743774,-4297241.738376387,3855235.949767615,-2692779.883375745,-4297235.482746219,3855229.6439795136
1593045266447,-2692784.1030871803,-4297241.693499691,3855236.051956097,-2692779.8768425602,-4297235.461065327,3855229.667762337
1593045267447,-2692784.385332278,-4297241.517754386,3855235.8980811327,-2692779.8930936805,-4297235.478161372,3855229.660206594
1593045268447,-2692784.4484557733,-4297242.045506573,3855235.19167775,-2692779.890126523,-4297235.4684596965,3855229.6604048074
1593045269447,-2692784.7224735674,-4297242.158100505,3855234.976880547,-2692779.8818985033,-4297235.483557887,3855229.6635354236
1593045270447,-2692784.51250512,-4297241.7580735525,3855235.5868697776,-2692779.8880310203,-4297235.474794783,3855229.6574520105
1593045271447,-2692784.5004532025,-4297242.071095314,3855235.419351313,-2692779.8708984866,-4297235.48059921,3855229.654694449
1593045272447,-2692784.5776087604,-4297241.941283905,3855235.406937119,-2692779.891645473,-4297235.474296139,3855229.669385535
1593045273447,-2692784.053285896,-4297241.768539872,3855235.4761796044,-2692779.893347974,-4297235.463672974,3855229.6627737605
