utcTimeMillis,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,acceleration_x,acceleration_y,acceleration_z
1593045251447.0,-1615667.914260012,-2578341.2893093037,2313137.7959676296,-1077112.8750007793,-1718895.513984957,1542092.9636933452,-1077113.858700077,-1718896.8263236713,1542094.0607584105
1593045252447.0,-2383687.647908047,-3803973.4880330507,3412704.14734577,-1351630.916742391,-2156980.543347267,1935117.507541024,-864415.5894218184,-1379465.1672875485,1237575.7810049616
1593045253447.0,-2791245.446593521,-4454368.560080027,3996201.048402549,-1154458.0514441056,-1842325.2477616079,1652827.059523235,-480192.0415502372,-766307.6802282076,687486.5560469332
1593045254447.0,-3050921.473488435,-4868767.995114689,4367975.754474729,-916363.6992655287,-1462365.3894446667,1311948.741393205,-251584.89902990145,-401488.0694030531,360191.4692491999
1593045255447.0,-3201830.414717382,-5109593.106048663,4584029.904186849,-738252.4707734209,-1178128.3565707789,1056948.016763669,-162813.53858160783,-259823.15670245927,233098.2080498553
1593045256447.0,-3273313.11315562,-5223666.425274825,4686369.511808307,-633704.0584890752,-1011285.5408148268,907266.3549081499,-153738.79496923395,-245341.19162473257,220105.8758605215
1593045257447.0,-3296637.0737108756,-5260882.696086465,4719758.114270144,-585515.3762112152,-934381.8218281768,838273.578158457,-175936.35851864328,-280764.17148079677,251885.68886335872
1593045258447.0,-3296767.5620126473,-5261084.945390292,4719941.488007605,-570746.9694018879,-910812.6601195942,817130.5059786516,-202352.26106174896,-322919.90761156747,289706.05180364096
1593045259447.0,-3289098.620990435,-5248840.191289132,4708960.586581047,-571570.011477465,-912125.1578672763,818310.6958761165,-222361.293951106,-354851.1957740817,318353.7138826113
1593045260447.0,-3281109.3523592115,-5236080.338295188,4697520.237193615,-577358.509050882,-921358.5752029275,826597.1965692264,-234286.64243207552,-373880.6013053006,335426.2246543453
1593045261447.0,-3275388.2300882144,-5226936.193690138,4689323.282703375,-583091.2677378939,-930502.4583615109,834800.6421884734,-239965.6384984854,-382942.26221739314,343554.7992039377
1593045262447.0,-3272127.91215982,-5221715.399255643,4684645.964186653,-587106.669186954,-936906.2676449505,840545.0503113715,-241862.8107136753,-385969.54449997057,346269.78769414197
1593045263447.0,-3270665.7476122673,-5219360.317724556,4682539.18642507,-589355.6101112424,-940491.9175046796,843761.0818889763,-241923.96842581904,-386067.5142696052,346357.1766639149
1593045264447.0,-3270246.575591208,-5218667.26904663,4681923.719052959,-590343.1035519778,-942065.7152633627,845172.8430259959,-241346.77278090853,-385147.2099804264,345531.55457357503
1593045265447.0,-3270305.37333718,-5218737.715857036,4681992.253680839,-590611.2991858417,-942493.7932654659,845556.3332372739,-240723.87243295385,-384154.4382633263,344640.7769392397
1593045266447.0,-3270512.735471944,-5219043.619509596,4682273.467577199,-590558.326043278,-942408.3550999019,845480.5796481806,-240270.21732421155,-383430.6949055243,343992.02271885687
1593045267447.0,-3270714.3181892065,-5219336.918710593,4682543.657800948,-590413.4795500966,-942174.6824565001,845271.5217005177,-240008.04389436083,-383011.7697828055,343616.3215548095
1593045268447.0,-3270857.462925628,-5219536.986731795,4682730.295228533,-590279.1333045758,-941959.8411730469,845078.7724873429,-239887.23000074123,-382819.6443390361,343443.7063695598
1593045269447.0,-3270941.1908746744,-5219642.735201128,4682832.207142653,-590187.5141720875,-941813.9205778268,844947.68692673,-239849.86718692497,-382760.61829923297,343390.54821867024
1593045270447.0,-3270984.361319706,-5219683.295884885,4682875.646006419,-590138.2795646185,-941735.0085616189,844877.0087565326,-239852.26216166283,-382764.4220643423,343394.04075766564
1593045271447.0,-3271007.760534811,-5219688.22004455,4682888.072138808,-590119.6136331777,-941702.6642099555,844848.6076535115,-239867.88148001904,-382788.55136084376,343415.89352422167
1593045272447.0,-3271020.119954664,-5219676.578575591,4682885.544880934,-590114.8449841887,-941694.7623685064,844841.6922882794,-239882.2074021144,-382811.91253318964,343436.778618831
1593045273447.0,-3271029.293160055,-5219659.247740532,4682879.367387794,-590116.4378774731,-941696.8441180388,844844.5887218675,-239892.17147796447,-382827.98393625754,343451.5026247893
1593045274447.0,-3271039.975241449,-5219642.681538597,4682873.323236688,-590120.6924208669,-941702.2935996134,844849.4729066358,-239898.18792960598,-382837.28579676634,343459.5811219478
1593045275447.0,-3271052.1895815255,-5219628.00112408,4682869.077115834,-590124.1235547616,-941706.9744301685,844853.6365647096,-239900.7131104565,-382841.4045181525,343463.1182643701
1593045276447.0,-3271065.303058645,-5219615.559909413,4682866.6564375805,-590125.9898378273,-941710.2980756181,844856.3983543137,-239901.22767873618,-382842.7278965584,343464.1382117154
1593045277447.0,-3271080.286034267,-5219605.1600200925,4682865.979346383,-590127.5244319466,-941712.4899868527,844858.1707572998,-239901.2396031541,-382842.7920342814,343464.11628609913
1593045278447.0,-3271095.309015557,-5219595.249334745,4682865.69659782,-590127.786685747,-941713.1414665474,844858.671315178,-239900.68151533065,-382842.11730723537,343463.5259700659
1593045279447.0,-3271108.9483938282,-5219585.717061461,4682864.759916052,-590126.7806279688,-941713.2898337338,844858.1709732972,-239899.90271004062,-382841.55289071094,343462.82124187105
1593045280447.0,-3271124.2929096194,-5219576.619714197,4682865.284969188,-590127.4194505329,-941713.4859962292,844858.6559379583,-239900.1696477524,-382841.29205103393,343462.82111863117
1593045281447.0,-3271140.2801985927,-5219567.871094958,4682864.7068987,-590128.1379097954,-941713.7677646666,844857.8733387967,-239900.3432478388,-382841.203290327,343462.27830892766
1593045282447.0,-3271155.5631668894,-5219560.092718294,4682862.981525684,-590128.0498827217,-941714.4698902831,844856.6229354173,-239900.14873271357,-382841.31056096446,343461.8053724158
1593045283447.0,-3271171.072557383,-5219552.63684957,4682860.520867271,-590128.1532776954,-941715.0405129092,844855.5805923888,-239900.1343178386,-382841.33527685294,343461.6494090909
1593045284447.0,-3271186.4205387626,-5219546.10737013,4682856.9225308485,-590127.9641842012,-941715.8770037014,844854.5350431354,-239899.9799462146,-382841.4597246133,343461.59366104286
1593045285447.0,-3271201.325009879,-5219540.27631177,4682852.793019773,-590127.4152440443,-941716.6603727586,844854.034002536,-239899.7172218758,-382841.51352397294,343461.8308803955
1593045286447.0,-3271215.14047565,-5219534.348839624,4682849.094396524,-590126.2976094763,-941716.8062910485,844854.3113343032,-239899.3282057368,-382841.2805814944,343462.2677638528
1593045287447.0,-3271228.6416416406,-5219528.6829290325,4682845.435340626,-590125.4536814782,-941716.9297697223,844854.819762856,-239899.18769889386,-382841.1546507716,343462.6413680938
1593045288447.0,-3271240.860945521,-5219522.724608699,4682842.972774737,-590124.1496263348,-941716.7593277525,844855.9695181153,-239898.90479812145,-382840.9871511688,343463.09723454766
1593045289447.0,-3271249.793090849,-5219517.091272245,4682841.922490245,-590121.462504421,-941717.0149406357,844857.2458022705,-239898.2337942688,-382841.10565418325,343463.32478190557
1593045290447.0,-3271259.198418916,-5219512.778418513,4682842.30639252,-590120.694745648,-941718.1421884813,844858.3617562128,-239898.6557310756,-382841.5377557989,343463.28533318965
1593045291447.0,-3271265.9107941072,-5219510.472943962,4682842.363969948,-590118.6542760343,-941719.9149581658,844858.2795440613,-239898.35053839372,-382841.9893391679,343462.7398207623
1593045292447.0,-3271269.090813594,-5219507.502924955,4682841.299209948,-590115.9152081603,-941719.9642437039,844857.5196778371,-239898.0119816663,-382841.48234919575,343462.2566112613
1593045293447.0,-3271275.171631259,-5219503.486069423,4682840.988962988,-590117.3306001186,-941719.2340425113,844857.6185258159,-239899.5901224189,-382840.93083828705,343462.35985789186
1593045294447.0,-3271280.7199540525,-5219501.276669235,4682839.896675707,-590118.0339956398,-941720.2009929852,844856.8564489366,-239900.15442627307,-382841.34025942173,343462.01004283293
1593045295447.0,-3271287.659074775,-5219501.526085626,4682836.53618287,-590119.085836089,-941722.3901094832,844854.864289968,-239900.50884365852,-382842.04685287183,343461.3264033812
1593045296447.0,-3271292.3829566725,-5219503.053807478,4682829.8054050235,-590117.9002151429,-941724.1058631727,844851.9630085519,-239899.7769822944,-382842.18808068207,343460.6809953892
1593045297447.0,-3271296.9378717216,-5219507.193352126,4682823.051479614,-590117.1202427434,-941726.3414900322,844850.9279761997,-239899.54872886935,-382842.4321389622,343461.12489025353
1593045298447.0,-3271300.778076682,-5219512.2105566645,4682813.449998068,-590116.3892932448,-941727.6879388432,844848.9119148058,-239899.46467388407,-382842.2005699782,343460.99149624474
1593045299447.0,-3271303.5669681467,-5219518.951918025,4682803.002623454,-590115.4811015229,-941729.1958691338,844847.8004288538,-239899.35334110082,-382842.1488532834,343461.31838918646
1593045300447.0,-3271307.1164979837,-5219525.785468575,4682792.041708109,-590115.6855791336,-941729.6576956275,844847.1473840651,-239899.7375864154,-382841.69433944457,343461.647950481
1593045301447.0,-3271309.4662349094,-5219534.668623377,4682779.828492744,-590115.0623102803,-941730.9700050657,844846.2825601792,-239899.61093211084,-382841.7878578558,343461.7506116586
1593045302447.0,-3271313.5345250047,-5219543.9417099,4682768.32484347,-590115.9808066868,-941731.6557712625,844846.4599602933,-239900.15160958614,-382841.5825303277,343462.19508475123
1593045303447.0,-3271315.4691908984,-5219551.836245074,4682754.393927321,-590114.9876704719,-941730.9655038824,844845.0600594424,-239899.6624521798,-382840.96011651534,343461.813138517
1593045304447.0,-3271317.097846592,-5219561.004956307,4682740.161356682,-590114.5893516778,-941731.5339979096,844844.4328408747,-239899.7108114605,-382841.1687902188,343461.9628472503
1593045305447.0,-3271323.0819094456,-5219571.302175503,4682727.473247707,-590117.2610420824,-941732.3633843551,844845.122299525,-239900.90454185216,-382841.33445615397,343462.5100565878
1593045306447.0,-3271328.6658269856,-5219581.430143752,4682713.346597727,-590117.9492329446,-941732.4771490506,844844.4460759994,-239900.66337596445,-382841.1195010758,343462.2264496234
1593045307447.0,-3271334.097895455,-5219590.640785014,4682698.195540449,-590118.0061273844,-941731.8839230696,844843.5293737348,-239900.29623636234,-382840.7456033366,343462.0028483908
1593045308447.0,-3271342.504876753,-5219600.723319098,4682684.794650066,-590119.7999161333,-941732.2030951648,844844.3187875393,-239900.76522931756,-382840.9228798468,343462.55061551294
1593045309447.0,-3271349.102336456,-5219610.890158137,4682670.539506713,-590119.2541602862,-941732.3824642429,844844.0207357536,-239900.07322615967,-382840.9469805786,343462.36743966193
1593045310447.0,-3271354.855017176,-5219620.597263848,4682654.8017075285,-590118.5612017483,-941732.078678176,844842.9761576578,-239899.72891737174,-382840.75531310996,343462.0092161702
