utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,,,,,,,
1.71578E+12,4.5762E+14,18,0,-1.39936E+18,0.60762167,110.7145436,-7.078883749,12.38317608,1665,10,0,16399,3.10361E+14,6,42,-467.1619568,0.200000003,16,0,1902.917734,1.58E+09,0,0,0,0,0,1,-0.16,38.4,0,0,0,0,C,3.79875E+15
1.71578E+12,4.5762E+14,18,0,-1.39936E+18,0.60762167,110.7145436,-7.078883749,12.38317608,1665,23,0,16399,3.10361E+14,13,34.7,-172.1483917,0.200000003,16,0,1902.917734,1.58E+09,0,0,0,0,0,1,-0.16,31.1,0,0,0,0,C,3.79875E+15
1.71578E+12,4.5762E+14,18,0,-1.39936E+18,0.60762167,110.7145436,-7.078883749,12.38317608,1665,24,0,16399,3.10361E+14,70,20.6,601.8322754,1.93900001,16,0,0,1.58E+09,0,0,0,0,0,1,-0.16,17,0,0,0,0,C,3.79875E+15
1.71578E+12,4.5762E+14,18,0,-1.39936E+18,0.60762167,110.7145436,-7.078883749,12.38317608,1665,32,0,16399,3.10361E+14,9,39.5,-135.1028137,0.200000003,16,0,1902.917734,1.58E+09,0,0,0,0,0,1,-0.16,35.9,0,0,0,0,C,3.79875E+15
1.71578E+12,4.5762E+14,18,0,-1.39936E+18,0.60762167,110.7145436,-7.078883749,12.38317608,1665,196,0,16399,3.10361E+14,19,31.1,-161.0467682,0.200000003,16,0,1902.917734,1.58E+09,0,0,0,0,0,4,-0.16,27.5,0,0,0,0,C,3.79875E+15
1.71578E+12,4.5762E+14,18,0,-1.39936E+18,0.60762167,110.7145436,-7.078883749,12.38317608,1665,3,0,49359,6.19433E+13,40,25.1,141.4139709,1.008999944,16,0,0,1.60E+09,0,0,0,0,0,3,-0.17,21.1,3783.779785,24.98892593,0,0,C,3.79875E+15
1.71578E+12,4.5762E+14,18,0,-1.39936E+18,0.60762167,110.7145436,-7.078883749,12.38317608,1665,4,0,49359,6.19433E+13,13,35.3,-78.36772156,0.251900017,16,0,1867.410893,1.61E+09,0,0,0,0,0,3,-0.17,31.3,3783.779785,24.98892593,0,0,C,3.79875E+15
1.71578E+12,4.5762E+14,18,0,-1.39936E+18,0.60762167,110.7145436,-7.078883749,12.38317608,1665,16,0,16399,3.10347E+14,24,29.8,44.62493134,0.200000003,16,0,1920.375754,1.56E+09,0,0,0,0,0,5,0.75,25.5,-1530.494385,22.11787605,0,0,I,3.79875E+15
1.71578E+12,4.5762E+14,18,0,-1.39936E+18,0.60762167,110.7145436,-7.078883749,12.38317608,1665,14,0,16399,3.10347E+14,19,31.8,221.6304016,0.200000003,16,0,1920.375754,1.56E+09,0,0,0,0,0,5,0.75,27.5,-1530.494385,22.11787605,0,0,I,3.79875E+15
1.71578E+12,4.5762E+14,18,0,-1.39936E+18,0.60762167,110.7145436,-7.078883749,12.38317608,1665,13,0,16399,3.10347E+14,8,40.5,-133.9752808,0.200000003,16,0,1920.375754,1.56E+09,0,0,0,0,0,5,0.75,36.2,-1530.494385,22.11787605,0,0,I,3.79875E+15
