utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos,SignalType,ArrivalTimeNanosSinceGpsEpoch,ReceivedSvTimeNanosSinceGpsEpoch,RawPseudorangeMeters,RawPseudorangeUncertaintyMeters
1717764593000,18105000000,0,0.0,-9223372036854775808,0.0,0.0,0.0,0.0,41.0,15,0.0,51,1.60069E7,69.0,23.546241760253906,162.0657957537244,1.1175268710999182,16,3810.154832171942,3.4028234663852886E38,1.57542003E9,0,0.0,0.0,0,0.0,1,33.75603485107422,18.546241760253906,0.0,2.000000001E9,0.0,2.000000001E9,C,349295078187141,GPS,-9.2233720187497759E18,-9.2232971819839928E18,-2.2435497962867855E13,20.685679602,
1717764594000,19105000000,0,0.0,-9223372036854775808,0.0,0.0,0.0,0.0,41.0,15,0.0,51,1.6006362E7,66.0,24.094383239746094,162.09870236549716,1.0928772669581788,16,3972.1857233420747,3.4028234663852886E38,1.57542003E9,0,0.0,0.0,0,0.0,1,34.6890754699707,19.094383239746094,0.0,2.000000001E9,0.0,2.000000001E9,C,349296082618679,GPS,-9.2233720177497754E18,-9.2232971819839939E18,-2.2435198169949375E13,19.786302228,
1717764595000,20105000000,0,0.0,-9223372036854775808,0.0,0.0,0.0,0.0,41.0,15,0.0,51,1.6005815E7,60.0,25.14852523803711,161.89446324478422,1.0454736290495896,16,4134.9636418653,3.4028234663852886E38,1.57542003E9,0,0.0,0.0,0,0.0,1,33.296356201171875,20.14852523803711,0.0,2.000000001E9,0.0,2.000000001E9,C,349297077887601,GPS,-9.2233720167497759E18,-9.2232971819839939E18,-2.2434898377644867E13,17.98754748,
1717764596000,21105000000,0,0.0,-9223372036854775808,0.0,0.0,0.0,0.0,41.0,15,0.0,51,1.6005281E7,56.0,26.035945892333984,161.79011980413964,1.0055672662011461,16,4295.695150628535,3.4028234663852886E38,1.57542003E9,0,0.0,0.0,0,0.0,1,34.27734375,21.035945892333984,0.0,2.000000001E9,0.0,2.000000001E9,C,349298083489101,GPS,-9.2233720157497754E18,-9.2232971819839949E18,-2.2434598584726387E13,16.788377648,
1717764597000,22105000000,0,0.0,-9223372036854775808,0.0,0.0,0.0,0.0,41.0,15,0.0,51,1.6004772E7,45.0,28.687654495239258,161.91792901610017,0.886322735922517,17,4457.608473133954,0.10074965810690796,1.57542003E9,0,0.0,0.0,0,0.0,1,35.23455810546875,23.687654495239258,0.0,2.000000001E9,0.0,2.000000001E9,C,349299080074638,GPS,-9.2233720147497759E18,-9.2232971819839949E18,-2.243429879242188E13,13.490660609999999,
1717764598000,23105000000,0,0.0,-9223372036854775808,0.0,0.0,0.0,0.0,41.0,15,0.0,51,1.600425E7,41.0,29.949214935302734,162.07675326349647,0.8295917548000222,17,4619.608975893496,0.09999222649548924,1.57542003E9,0,0.0,0.0,0,0.0,1,34.10702896118164,24.949214935302734,0.0,2.000000001E9,0.0,2.000000001E9,C,349300079806638,GPS,-9.2233720137497754E18,-9.2232971819839959E18,-2.24339989995034E13,12.291490778,
1717764599000,24105000000,0,0.0,-9223372036854775808,0.0,0.0,0.0,0.0,41.0,15,0.0,51,1.6003654E7,46.0,28.531627655029297,162.0045495793529,0.9051560224105835,16,4781.529253524525,3.4028234663852886E38,1.57542003E9,0,0.0,0.0,0,0.0,1,34.848453521728516,23.531627655029297,0.0,2.000000001E9,0.0,2.000000001E9,C,349301082507099,GPS,-9.2233720127497759E18,-9.2232971819839959E18,-2.2433699207198895E13,13.790453068,
1717764600000,25105000000,0,0.0,-9223372036854775808,0.0,0.0,0.0,0.0,41.0,15,0.0,51,1.6003141E7,38.0,30.709985733032227,161.9377820470247,0.8430382824077394,16,4943.479854750222,3.4028234663852886E38,1.57542003E9,0,0.0,0.0,1,0.0,1,34.10702896118164,25.709985733032227,0.0,2.000000001E9,0.0,2.000000001E9,C,349302079154213,GPS,-9.2233720117497754E18,-9.2232971819839969E18,-2.243339941428041E13,11.392113404,
1717764601000,26105000000,0,0.0,-9223372036854775808,0.0,0.0,0.0,0.0,41.0,15,0.0,51,1.6002625E7,34.0,32.327491760253906,161.91262919411088,0.7226429366830822,25,5105.42306021514,0.0036848068702965975,1.57542003E9,0,0.0,0.0,0,0.0,1,33.75603485107422,27.32749366760254,0.0,2.000000001E9,0.0,2.000000001E9,C,349303079165328,GPS,-9.2233720107497759E18,-9.2232971819839969E18,-2.2433099621975906E13,10.192943571999999,
1717764602000,27105000000,0,0.0,-9223372036854775808,0.0,0.0,0.0,0.0,41.0,15,0.0,39,2.136002083E9,31.0,33.282196044921875,161.98403194052617,0.6797110901452603,25,5267.3821716534385,0.0033012600615620613,1.57542003E9,0,0.0,0.0,0,0.0,1,36.164798736572266,28.282194137573242,0.0,2.000000001E9,0.0,2.000000001E9,C,349304082490558,GPS,-9.2233720097497754E18,-9.2232971798639974E18,-2.243343538922188E13,9.293566197999999,
