utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos,SignalType,ArrivalTimeNanosSinceGpsEpoch,ReceivedSvTimeNanosSinceGpsEpoch,RawPseudorangeMeters,RawPseudorangeUncertaintyMeters,Constellation,SvName,GpsWeekNum,UnixTime,Epoch,SvPositionXEcefMeters,SvPositionYEcefMeters,SvPositionZEcefMeters,SvVelocityXEcefMetersPerSecond,SvVelocityYEcefMetersPerSecond,SvVelocityZEcefMetersPerSecond,SvClockBiasMeters,SvClockDriftMetersPerSecond
1717828001000,455854440000000,18,0.0,-1401407364970240291,-0.222,57.95220567961224,2.827001125175246,12.845036610278848,517.0,05,0.0,16399,541619340976377.0,24,28.8,-59.841156005859375,0.0925000011920929,16,-0.0,1902.9177342976868,1575420030.0,0,0.0,0.0,0,0.0,1,0.86,25.2,0.0,0.0,0.0,0.0,C,1167765917271828,GPS,1401863219410240291.222,1401863219340976384,20764796.996767331676,7.195018992,G,G05,2317,2024-06-08 06:26:41+00:00,0,3552265.2363787116,23684701.725517247,11206251.321566336,-861.3672407019463,-1189.9259971516112,2752.1996096126095,-52632.50913582519,-0.0004089894782739068
1717828001000,455854440000000,18,0.0,-1401407364970240291,-0.222,57.95220567961224,2.827001125175246,12.845036610278848,517.0,12,0.0,16399,541619335702865.0,14,33.7,281.6161499023437,0.0485000014305114,16,-0.0,1902.9177342976868,1575420030.0,0,0.0,0.0,0,0.0,1,0.86,30.1,0.0,0.0,0.0,0.0,C,1167765917271828,GPS,1401863219410240291.222,1401863219335702784,22345782.503276131676,4.197094412,G,G12,2317,2024-06-08 06:26:41+00:00,0,10026708.017740902,24582922.56490713,1138889.2005931847,-193.22542994004053,262.3513562037939,-3172.028379910346,-153573.50305364578,-0.0009543087826401152
1717828001000,455854440000000,18,0.0,-1401407364970240291,-0.222,57.95220567961224,2.827001125175246,12.845036610278848,517.0,15,0.0,16399,541619330923652.0,106,18.3,-703.7821655273438,3.621500015258789,16,0.0,0.0,1575420030.0,0,0.0,0.0,0,0.0,1,0.86,14.7,0.0,0.0,0.0,0.0,C,1167765917271828,GPS,1401863219410240291.222,1401863219330923776,23778493.058397795676,31.778000548,G,G15,2317,2024-06-08 06:26:41+00:00,0,712248.080719294,22418917.79807302,-14575580.92306517,-1039.3885638521474,1469.6013088570198,2308.0610815092004,50299.903630314206,0.0012610508913440464
1717828001000,455854440000000,18,0.0,-1401407364970240291,-0.222,57.95220567961224,2.827001125175246,12.845036610278848,517.0,19,0.0,16399,541619334115703.0,31,27.3,576.3995361328125,0.6875,16,0.0,0.0,1575420030.0,0,0.0,0.0,0,0.0,1,0.86,23.7,0.0,0.0,0.0,0.0,C,1167765917271828,GPS,1401863219410240291.222,1401863219334115584,22821613.092613731676,9.293566198,G,G19,2317,2024-06-08 06:26:41+00:00,0,-20217278.80031667,15409258.524593413,-7124797.68026317,385.66408508811156,-848.0909642487146,-3041.706616620183,147911.67520680247,0.0016018754565733013
1717828001000,455854440000000,18,0.0,-1401407364970240291,-0.222,57.95220567961224,2.827001125175246,12.845036610278848,517.0,20,0.0,16399,541619340568031.0,27,28.0,216.07846069335935,0.6165000200271606,16,0.0,0.0,1575420030.0,0,0.0,0.0,0,0.0,1,0.86,24.4,0.0,0.0,0.0,0.0,C,1167765917271828,GPS,1401863219410240291.222,1401863219340568064,20887208.253217891676,8.094396366,G,G20,2317,2024-06-08 06:26:41+00:00,0,-3275369.412314431,18659780.303758744,18736681.636081472,-1458.3069928133293,-1865.0151593968199,1593.117459862431,112142.91689271489,-0.00013632982609110243
1717828001000,455854440000000,18,0.0,-1401407364970240291,-0.222,57.95220567961224,2.827001125175246,12.845036610278848,517.0,25,0.0,16399,541619333097636.0,46,23.6,46.19378662109375,0.9359999895095824,16,0.0,0.0,1575420030.0,0,0.0,0.0,0,0.0,1,0.86,20.0,0.0,0.0,0.0,0.0,C,1167765917271828,GPS,1401863219410240291.222,1401863219333097728,23126758.644743779676,13.790453068,G,G25,2317,2024-06-08 06:26:41+00:00,0,16299686.277378328,18812314.204785876,9292045.750459347,279.3942483537809,1219.1881925545474,-2829.6299652146286,149004.89644778578,0.0001704122826140279
1717828002000,455855440000000,18,0.0,-1401407364970240291,-0.193,53.55147004593164,1.4117074077670662,13.046710559847606,517.0,05,0.0,16399,541620340976592.0,27,28.5,-59.390655517578125,0.6165000200271606,16,0.0,0.0,1575420030.0,0,0.0,0.0,0,0.0,1,0.66,24.9,0.0,0.0,0.0,0.0,C,1167766917271828,GPS,1401863220410240291.222,1401863220340976640,20764720.249898083676,8.094396366,G,G05,2317,2024-06-08 06:26:42+00:00,1,3551403.6816820046,23683511.643966995,11209003.477094728,-861.598497234127,-1190.1850499716627,2751.9579239059212,-52632.50913582519,-0.0004089894782739068
1717828002000,455855440000000,18,0.0,-1401407364970240291,-0.193,53.55147004593164,1.4117074077670662,13.046710559847606,517.0,06,0.0,16399,541620332098648.0,70,20.7,225.86907958984372,1.934499979019165,16,0.0,0.0,1575420030.0,0,0.0,0.0,0,0.0,1,0.66,17.099999999999998,0.0,0.0,0.0,0.0,C,1167766917271828,GPS,1401863220410240291.222,1401863220332098560,23426301.675418723676,20.985472060,G,G06,2317,2024-06-08 06:26:42+00:00,1,-22694166.718983173,5830397.329433365,12672408.720299523,-1564.3200301638858,-323.4835154966256,-2654.5280209982348,69083.45760688353,-0.006271172000203902
1717828002000,455855440000000,18,0.0,-1401407364970240291,-0.193,53.55147004593164,1.4117074077670662,13.046710559847606,517.0,11,0.0,16399,541620337153484.0,61,21.6,39.81895065307617,1.8519999980926516,16,0.0,0.0,1575420030.0,0,0.0,0.0,0,0.0,1,0.66,18.0,0.0,0.0,0.0,0.0,C,1167766917271828,GPS,1401863220410240291.222,1401863220337153536,21910857.995247715676,18.287339938,G,G11,2317,2024-06-08 06:26:42+00:00,1,-10990056.66758572,12754069.110773874,20552386.375009574,-2563.6629533268697,-467.00707624602495,-1087.5312510842498,-204091.0457996354,-0.002522101782688093
1717828002000,455855440000000,18,0.0,-1401407364970240291,-0.193,53.55147004593164,1.4117074077670662,13.046710559847606,517.0,12,0.0,16399,541620335701912.0,11,36.7,282.3656921386719,0.0456999987363815,16,-0.0,1902.9177342976868,1575420030.0,0,0.0,0.0,0,0.0,1,0.66,33.1,0.0,0.0,0.0,0.0,C,1167766917271828,GPS,1401863220410240291.222,1401863220335702016,22346012.743883875676,3.297717038,G,G12,2317,2024-06-08 06:26:42+00:00,1,10026514.67184101,24583184.76434026,1135717.067425417,-193.34687470639625,261.9880553941173,-3172.0525406875736,-153573.50305364578,-0.0009543087826401152
1717828002000,455855440000000,18,0.0,-1401407364970240291,-0.193,53.55147004593164,1.4117074077670662,13.046710559847606,517.0,13,0.0,16399,541620336460763.0,70,21.5,-577.23681640625,1.8504999876022337,16,0.0,0.0,1575420030.0,0,0.0,0.0,0,0.0,1,0.66,17.9,0.0,0.0,0.0,0.0,C,1167766917271828,GPS,1401863220410240291.222,1401863220336460800,22118535.023432803676,20.985472060,G,G13,2317,2024-06-08 06:26:42+00:00,1,-11932381.282100134,21755941.51700539,-9344753.44549651,-975.2834912417313,676.8179676325936,2908.397629780879,196784.849034806,0.0007838965000254878
1717828002000,455855440000000,18,0.0,-1401407364970240291,-0.193,53.55147004593164,1.4117074077670662,13.046710559847606,517.0,19,0.0,16399,541620334113825.0,27,28.4,576.1426391601562,0.6375000476837158,16,0.0,0.0,1575420030.0,0,0.0,0.0,0,0.0,1,0.66,24.8,0.0,0.0,0.0,0.0,C,1167766917271828,GPS,1401863220410240291.222,1401863220334113792,22822150.320698467676,8.094396366,G,G19,2317,2024-06-08 06:26:42+00:00,1,-20216893.05458963,15408410.214971509,-7127839.390624915,385.8708628492028,-848.3991126463457,-3041.5521949073836,147911.67520680247,0.0016018754565733013
1717828002000,455855440000000,18,0.0,-1401407364970240291,-0.193,53.55147004593164,1.4117074077670662,13.046710559847606,517.0,20,0.0,16399,541620340567283.0,24,29.5,216.2831573486328,0.0925000011920929,16,-0.0,1902.9177342976868,1575420030.0,0,0.0,0.0,0,0.0,1,0.66,25.9,0.0,0.0,0.0,0.0,C,1167766917271828,GPS,1401863220410240291.222,1401863220340567296,20887438.493825635676,7.195018992,G,G20,2317,2024-06-08 06:26:42+00:00,1,-3276827.9143370306,18657915.185296416,18738274.603492003,-1458.5274062933604,-1865.096310402403,1592.7226521515945,112142.91689271489,-0.00013632982609110243
