utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos,SignalType,ArrivalTimeNanosSinceGpsEpoch,ReceivedSvTimeNanosSinceGpsEpoch,RawPseudorangeMeters,RawPseudorangeUncertaintyMeters
1718050422000,169537418000000,18,0.0,-1401916102188427920,-0.5799102783203125,7374681.47277832,0.9765624737812494,292.33564734250933,796.0,22,0.0,1,360783.0,687.0,22.0,-374.6112060546875,4.990000247955322,16,0.0,0.0,1.60031245E9,0,0.0,0.0,0,0.0,3,-1.41,18.0,3772.4228515625,19.231931686401367,0.0,0.0,C,1390186113459457,GLONASS,1.4020856396064279E18,1.4020884180003607E18,-8.329415464063988E11,205.95741864599998,
1718050422000,169537418000000,18,0.0,-1401916102188427920,-0.5799102783203125,7374681.47277832,0.9765624737812494,292.33564734250933,796.0,26,0.0,1,350061.0,759.0,26.5,-253.58815002441406,70.0199966430664,16,0.0,0.0,1.56109798E9,0,0.0,0.0,0,0.0,5,-1.24,22.2,-1549.15576171875,8.490431785583496,0.0,0.0,I,1390186113459457,BEIDOU,1.4020856396064279E18,1.40208841800034995E18,-8.329415431830303E11,227.54247562199998,
1718050422000,169537418000000,18,0.0,-1401916102188427920,-0.5799102783203125,7374681.47277832,0.9765624737812494,292.33564734250933,796.0,21,0.0,1,803445.0,849.0,25.5,325.48773193359375,70.2300033569336,16,0.0,0.0,1.56109798E9,0,0.0,0.0,0,0.0,5,-1.24,21.2,-1549.15576171875,8.490431785583496,0.0,0.0,I,1390186113459457,BEIDOU,1.4020856396064279E18,1.40208841800080333E18,-8.329416791017357E11,254.523796842,
1718050423000,169538418000000,18,0.0,-1401916102188427931,-0.21933937072753906,7374713.42086792,-10.633373491274588,35.164762117784434,796.0,22,0.0,1,362028.0,70.0,21.7,-373.4403991699219,5.820000171661377,16,0.0,0.0,1.60031245E9,0,0.0,0.0,0,0.0,3,-1.49,17.7,3772.4228515625,19.231931686401367,0.0,0.0,C,1390187113459468,GLONASS,1.4020856406064279E18,1.40208841800036198E18,-8.326417543321332E11,20.98547206,
1718050423000,169538418000000,18,0.0,-1401916102188427931,-0.21933937072753906,7374713.42086792,-10.633373491274588,35.164762117784434,796.0,26,0.0,1,350909.0,937.0,25.6,-253.58815002441406,70.7699966430664,16,0.0,0.0,1.56109798E9,0,0.0,0.0,0,0.0,5,-1.8,21.3,-1549.15576171875,8.490431785583496,0.0,0.0,I,1390187113459468,BEIDOU,1.4020856406064279E18,1.40208841800035098E18,-8.326417510320177E11,280.905533146,
1718050423000,169538418000000,18,0.0,-1401916102188427931,-0.21933937072753906,7374713.42086792,-10.633373491274588,35.164762117784434,796.0,21,0.0,1,802361.0,971.0,25.4,325.48773193359375,70.9800033569336,16,0.0,0.0,1.56109798E9,0,0.0,0.0,0,0.0,5,-1.8,21.099999999999998,-1549.15576171875,8.490431785583496,0.0,0.0,I,1390187113459468,BEIDOU,1.4020856406064279E18,1.4020884180008023E18,-8.326418863367483E11,291.098476718,
1718050424000,169539418000000,18,0.0,-1401916102188427941,-0.44153594970703125,7374744.892120361,-10.228023080178689,34.73831137019934,796.0,22,0.0,1,364064.0,53.0,23.1,-372.5880126953125,6.410000324249268,16,0.0,0.0,1.60031245E9,0,0.0,0.0,0,0.0,3,-1.52,19.1,3772.4228515625,19.231931686401367,0.0,0.0,C,1390188113459478,GLONASS,1.4020856416064279E18,1.40208841800036403E18,-8.32341962488108E11,15.889000273999999,
1718050424000,169539418000000,18,0.0,-1401916102188427941,-0.44153594970703125,7374744.892120361,-10.228023080178689,34.73831137019934,796.0,26,0.0,1,351757.0,1126.0,24.7,-253.58815002441406,71.5199966430664,16,0.0,0.0,1.56109798E9,0,0.0,0.0,0,0.0,5,-2.2,20.4,-1549.15576171875,8.490431785583496,0.0,0.0,I,1390188113459478,BEIDOU,1.4020856416064279E18,1.40208841800035174E18,-8.323419588042583E11,337.56630770799995,
1718050424000,169539418000000,18,0.0,-1401916102188427941,-0.44153594970703125,7374744.892120361,-10.228023080178689,34.73831137019934,796.0,21,0.0,1,801277.0,1161.0,24.7,325.48773193359375,71.7300033569336,16,0.0,0.0,1.56109798E9,0,0.0,0.0,0,0.0,5,-2.2,20.4,-1549.15576171875,8.490431785583496,0.0,0.0,I,1390188113459478,BEIDOU,1.4020856416064279E18,1.40208841800080128E18,-8.323420935717607E11,348.05904373799996,
1718050425000,169540418000000,18,0.0,-1401916102188427947,-0.9682445526123047,7374776.363372803,-6.541187020642962,35.00516239186865,796.0,22,0.0,1,365314.0,61.0,22.9,-371.48272705078125,7.239999771118164,16,0.0,0.0,1.60031245E9,0,0.0,0.0,0,0.0,3,-1.51,18.9,3772.4228515625,19.231931686401367,0.0,0.0,C,1390189113459484,GLONASS,1.4020856426064279E18,1.40208841800036531E18,-8.320421704138424E11,18.287339938,
