utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos,SignalType,ArrivalTimeNanosSinceGpsEpoch,ReceivedSvTimeNanosSinceGpsEpoch,RawPseudorangeMeters,RawPseudorangeUncertaintyMeters
1718265796487,4.12498E+15,18,0,-1.39818E+18,0.308463097,20233.76152,4.882812468,294.2064993,989,12,0,16399,3.75E+14,19,31.4,366.7912292,0.0647,16,0,1902.917734,1.58E+09,0,0,0,0,0,1,-2.39,27.8,0,0,0,0,C,1.60556E+15,GPS,1.40E+18,1.40E+18,2.52E+07,5.696056702
1718265796491,4.12498E+15,18,0,-1.39818E+18,0.308463097,20233.76152,4.882812468,294.2064993,989,24,0,16399,3.75E+14,46,23.7,-568.4547729,0.943499982,16,0,0,1.58E+09,0,0,0,0,0,1,-2.39,20.1,0,0,0,0,C,1.60556E+15,GPS,1.40E+18,1.40E+18,2.45E+07,13.79045307
1718265797318,4.12498E+15,18,0,-1.39818E+18,0.164619446,20522.76209,5.859375042,292.3356473,989,12,0,16399,3.75E+14,31,26.8,367.2667847,0.748999953,16,0,0,1.58E+09,0,0,0,0,0,1,-2.9,23.2,0,0,0,0,C,1.60556E+15,GPS,1.40E+18,1.40E+18,2.52E+07,9.293566198
1718265797323,4.12498E+15,18,0,-1.39818E+18,0.164619446,20522.76209,5.859375042,292.3356473,989,24,0,16399,3.75E+14,27,28.5,-569.0541992,0.64350003,16,0,0,1.58E+09,0,0,0,0,0,1,-2.9,24.9,0,0,0,0,C,1.60556E+15,GPS,1.40E+18,1.40E+18,2.45E+07,8.094396366
1718265797326,4.12498E+15,18,0,-1.39818E+18,0.164619446,20522.76209,5.859375042,292.3356473,989,9,0,16399,3.75E+14,122,18,-243.5540771,3.618500233,16,0,0,1.56E+09,0,0,0,0,0,5,-3.92,13.7,-1553.953857,16.87151527,0,0,I,1.60556E+15,BEIDOU,1.40E+18,1.40E+18,3.94E+07,36.57467988
1718265799327,4.12498E+15,18,0,-1.39818E+18,0.277038574,21103.38397,0,294.9573443,989,12,0,16399,3.75E+14,70,21.1,366.7054138,1.848999977,16,0,0,1.58E+09,0,0,0,0,0,1,-3.08,17.5,0,0,0,0,C,1.60556E+15,GPS,1.40E+18,1.40E+18,2.52E+07,20.98547206
1718265799333,4.12498E+15,18,0,-1.39818E+18,0.277038574,21103.38397,0,294.9573443,989,24,0,16399,3.75E+14,31,27.5,-567.9029541,0.693499982,16,0,0,1.58E+09,0,0,0,0,0,1,-3.08,23.9,0,0,0,0,C,1.60556E+15,GPS,1.40E+18,1.40E+18,2.45E+07,9.293566198
1718265799340,4.12498E+15,18,0,-1.39818E+18,0.277038574,21103.38397,0,294.9573443,989,194,0,16399,3.75E+14,17,32,109.6659622,0.0548,16,0,1902.917734,1.58E+09,0,0,0,0,0,4,-3.08,28.4,0,0,0,0,C,1.60556E+15,QZSS,1.40E+18,1.40E+18,3.72E+07,5.096471786
1718265800318,4.12498E+15,18,0,-1.39818E+18,0.068723679,21393.2544,8.789062363,293.2053897,989,12,0,16399,3.75E+14,35,25.6,368.4751282,0.808999956,16,0,0,1.58E+09,0,0,0,0,0,1,-3.1,22,0,0,0,0,C,1.60556E+15,GPS,1.40E+18,1.40E+18,2.52E+07,10.49273603
1718265800327,4.12498E+15,18,0,-1.39818E+18,0.068723679,21393.2544,8.789062363,293.2053897,989,194,0,16399,3.75E+14,16,33.5,110.0313339,0.053400002,16,0,1902.917734,1.58E+09,0,0,0,0,0,4,-3.1,29.9,0,0,0,0,C,1.60556E+15,QZSS,1.40E+18,1.40E+18,3.72E+07,4.796679328
