,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos,SignalType,ArrivalTimeNanosSinceGpsEpoch,ReceivedSvTimeNanosSinceGpsEpoch,RawPseudorangeMeters,RawPseudorangeUncertaintyMeters,Constellation,SvName,UnixTime,Epoch,SvPositionXEcefMeters,SvPositionYEcefMeters,SvPositionZEcefMeters,SvVelocityXEcefMetersPerSecond,SvVelocityYEcefMetersPerSecond,SvVelocityZEcefMetersPerSecond,SvClockBiasMeters,SvClockDriftMetersPerSecond
0,1.71722E+12,13105000000,0,0,-9.22337E+18,0,0,0,0,18,5,0,16431,5.36479E+14,17,40.41838837,-877.7972123,0.15,25,-5907.237816,0.001539736,1575420030,0,0,0,0,0,1,35.23455811,35.41838837,0,2000000001,0,2000000001,C,3.07671E+14,GPS,-9.22E+18,-9.22E+18,-3.10893E+13,5.096471786,G,G05,2024-06-01 05:01:01+00:00,0,6135406.057,23897646.76,-9894769.694,-255.376338,1225.543564,2861.90004,-52385.27445,-0.000408989
1,1.71722E+12,14105000000,0,0,-9.22337E+18,0,0,0,0,18,5,0,16431,5.3648E+14,22,37.60188293,-877.4891069,0.15,25,-6785.015214,0.00212947,1575420030,0,0,0,0,0,1,34.68907547,32.60188293,0,2000000001,0,2000000001,C,3.07672E+14,GPS,-9.22E+18,-9.22E+18,-3.10893E+13,6.595434076,G,G05,2024-06-01 05:01:02+00:00,1,6135150.66,23898872.19,-9891907.594,-255.2951813,1225.200779,2862.110014,-52385.27445,-0.000408989
2,1.71722E+12,15105000000,0,0,-9.22337E+18,0,0,0,0,18,5,0,16431,5.36481E+14,14,43.28699112,-877.3266699,0.15,25,-7662.639508,0.001106665,1575420030,0,0,0,0,0,1,34.68907547,38.28699112,0,2000000001,0,2000000001,C,3.07673E+14,GPS,-9.22E+18,-9.22E+18,-3.10893E+13,4.197094412,G,G05,2024-06-01 05:01:03+00:00,2,6134895.344,23900097.27,-9889045.284,-255.2140708,1224.857962,2862.319926,-52385.27445,-0.000408989
3,1.71722E+12,16105000000,0,0,-9.22337E+18,0,0,0,0,18,5,0,16431,5.36482E+14,16,41.00497055,-877.7088706,0.15,25,-8540.295709,0.001439187,1575420030,0,0,0,0,0,1,34.68907547,36.00497055,0,2000000001,0,2000000001,C,3.07674E+14,GPS,-9.22E+18,-9.22E+18,-3.10893E+13,4.796679328,G,G05,2024-06-01 05:01:04+00:00,3,6134640.11,23901322.01,-9886182.764,-255.1330066,1224.515113,2862.529779,-52385.27445,-0.000408989
4,1.71722E+12,17105000000,0,0,-9.22337E+18,0,0,0,0,18,5,0,16431,5.36483E+14,21,38.11065674,-877.114677,0.15,25,-9417.784706,0.00200832,1575420030,0,0,0,0,0,1,34.10702896,33.11065674,0,2000000001,0,2000000001,C,3.07675E+14,GPS,-9.22E+18,-9.22E+18,-3.10893E+13,6.295641618,G,G05,2024-06-01 05:01:05+00:00,4,6134384.956,23902546.41,-9883320.034,-255.0519887,1224.17223,2862.739571,-52385.27445,-0.000408989
5,1.71722E+12,18105000000,0,0,-9.22337E+18,0,0,0,0,18,5,0,16431,5.36484E+14,22,37.26612091,-877.8058693,0.15,16,-10295.33544,3.40E+38,1575420030,0,0,0,0,0,1,35.60422516,32.26612091,0,2000000001,0,2000000001,C,3.07676E+14,GPS,-9.22E+18,-9.22E+18,-3.10893E+13,6.595434076,G,G05,2024-06-01 05:01:06+00:00,5,6134129.883,23903770.46,-9880457.095,-254.9710171,1223.829315,2862.949303,-52385.27445,-0.000408989
6,1.71722E+12,19105000000,0,0,-9.22337E+18,0,0,0,0,18,5,0,16431,5.36485E+14,24,36.23947906,-876.9696903,0.15,16,-11172.34785,3.40E+38,1575420030,0,0,0,0,0,1,34.44438553,31.23947906,0,2000000001,0,2000000001,C,3.07677E+14,GPS,-9.22E+18,-9.22E+18,-3.10893E+13,7.195018992,G,G05,2024-06-01 05:01:07+00:00,6,6133874.892,23904994.17,-9877593.946,-254.8900917,1223.486368,2863.158975,-52385.27445,-0.000408989
7,1.71722E+12,19105000000,0,0,-9.22337E+18,0,0,0,0,18,11,0,16431,5.36485E+14,16,41.53225708,-277.2006794,0.15,17,-2684.365457,0.096501255,1575420030,0,0,0,0,0,1,34.44438553,36.53225708,0,2000000001,0,2000000001,C,3.07677E+14,GPS,-9.22E+18,-9.22E+18,-3.10893E+13,4.796679328,G,G11,2024-06-01 05:01:07+00:00,6,5598439.994,19281522.7,17438129.4,-1857.484308,-1200.716296,1921.094555,-202532.9508,-0.002590267
8,1.71722E+12,19105000000,0,0,-9.22337E+18,0,0,0,0,18,20,0,16431,5.36485E+14,12,45.27012634,-574.6259907,0.15,25,-6743.412028,0.000880763,1575420030,0,0,0,0,0,1,34.44438553,40.27012634,0,2000000001,0,2000000001,C,3.07677E+14,GPS,-9.22E+18,-9.22E+18,-3.10893E+13,3.597509496,G,G20,2024-06-01 05:01:07+00:00,6,1927775.866,26550681.47,1155287.164,-302.5488766,-108.3205451,3146.326066,112280.4246,-0.000408989
9,1.71722E+12,20105000000,0,0,-9.22337E+18,0,0,0,0,18,5,0,16431,5.36486E+14,20,38.76659393,-877.4371652,0.15,17,-12049.80943,0.097009078,1575420030,0,0,0,0,0,1,33.20142746,33.76659393,0,2000000001,0,2000000001,C,3.07678E+14,GPS,-9.22E+18,-9.22E+18,-3.10893E+13,5.99584916,G,G05,2024-06-01 05:01:08+00:00,7,6133619.981,23906217.54,-9874730.587,-254.8092127,1223.143388,2863.368587,-52385.27445,-0.000408989
