,t_k,x_k,y_k,z_k
0,-75342.628449053,8798145.296319572,-10761335.498019554,-270043989.26673275
1,-75342.635115368,-91345044.30768293,-220166222.56293517,7988027.205772193
2,-75342.63460723699,109325948.5221681,4799507.041519598,236834711.4846133
3,-75342.629231937,-147570303.42850214,185453340.09616798,-58449856.16497514
4,-75342.631919169,-41674938.38375616,78817208.4651936,252111442.30423644
5,-75342.62529458999,-120140574.57760447,161225170.34033194,142523175.36306038
6,-75341.628446687,8797875.036922164,-10761493.8756376,-270040429.5397743
7,-75341.63511766,-91343708.80280143,-220163379.8446506,7988227.252548137
8,-75341.634608362,109324209.7253202,4799501.872610618,236831736.56904504
9,-75341.62923039,-147568512.10940748,185450885.17732352,-58448786.10449712
10,-75341.631920797,-41674262.88780081,78815880.6660549,252108238.50176695
11,-75341.625294724,-120138994.7618061,161222831.4023364,142521557.2665215
12,-75340.628444419,8797604.777549373,-10761652.253239194,-270036869.8131639
13,-75340.63511994299,-91342373.29790883,-220160537.1263404,7988427.299323087
14,-75340.63460952499,109322470.92853461,4799496.703701835,236828761.65359068
15,-75340.629228865,-147566720.79035598,185448430.2585331,-58447716.04404266
16,-75340.631921924,-41673587.391507044,78814552.86625193,252105034.69769052
17,-75340.625294851,-120137414.94599852,161220492.46432537,142519939.1699704
18,-75339.62844216899,8797334.518179586,-10761810.630837005,-270033310.0866165
19,-75339.63512219199,-91341037.79297175,-220157694.40793356,7988627.346102044
20,-75339.634610574,109320732.1315471,4799491.534792462,236825786.73779815
21,-75339.629227293,-147564929.47122404,185445975.3396273,-58446645.9835379
22,-75339.62529487,-120135835.13002218,161218153.52606267,142518321.0732436
23,-75338.62843985,8797064.258789295,-10761969.008444812,-270029750.3598227
24,-75338.635124465,-91339702.28806767,-220154851.68959498,7988827.392873404
25,-75338.634611748,109318993.33477318,4799486.365883736,236822811.82237843
26,-75338.629225781,-147563138.1522033,185443520.42086875,-58445575.92309733
27,-75338.631924784,-41672236.39932886,78811897.26745343,252098627.09147355
28,-75338.625295037,-120134255.31428151,161215814.58814707,142516702.9767553
29,-75337.62518147999,-72968937.05780914,-180031327.74894604,-161887701.28907603
30,-75337.628437461,8796793.999378217,-10762127.386062775,-270026190.6327787
31,-75337.635126786,-91338366.78322862,-220152008.97139287,7989027.439632369
32,-75337.634612827,109317254.53783035,4799481.196974518,236819836.906677
33,-75337.629224279,-147561346.83320415,185441065.50213477,-58444505.86266747
34,-75337.63192598299,-41671560.90308373,78810569.46774887,252095423.28762215
35,-75337.625295212,-120132675.49855535,161213475.65025112,142515084.88027903
36,-75336.625182231,-72967971.84176116,-180029188.95810562,-161885325.1029911
37,-75336.628435364,8796523.740044193,-10762285.76363356,-270022630.90677315
38,-75336.635129039,-91337031.27829969,-220149166.2529974,7989227.486402143
39,-75336.63461382399,109315515.74074124,4799476.028064877,236816861.99073258
40,-75336.629222659,-147559555.51399738,185438610.58311114,-58443435.80211136
41,-75336.631927489,-41670885.407045975,78809241.66845284,252092219.48475254
42,-75336.625295258,-120131095.68262725,161211136.7120544,142513466.78359312
43,-75335.625182584,-72967006.62533088,-180027050.16641298,-161882948.91596135
44,-75335.628433049,8796253.480649393,-10762444.14123794,-270019071.17999077
45,-75335.63513137499,-91335695.7734825,-220146323.53483787,7989427.5331525225
46,-75335.63461490799,109313776.94379966,4799470.859155685,236813887.07504788
47,-75335.62922118699,-147557764.19505945,185436155.6644508,-58442365.74171358
48,-75335.63192880999,-41670209.91088325,78807913.86891212,252089015.6812883
49,-75335.625295458,-120129515.8669443,161208797.77421877,142511848.68715546
50,-75334.62843077199,8795983.221262991,-10762602.518835373,-270015511.4533427
51,-75334.635133544,-91334360.26844327,-220143480.81620365,7989627.579933512
52,-75334.634615936,109312038.146757,4799465.690246203,236810912.15919757
53,-75334.629219592,-147555972.87590492,185433700.74548852,-58441295.68118422
54,-75334.631930105,-41669534.41470297,78806586.0693378,252085811.87773895
55,-75334.62529558099,-120127936.05114155,161206458.83620396,142510230.59059227
56,-75333.625184199,-72965076.1933533,-180022772.58496907,-161878196.54406464
57,-75333.62842852,8795712.961881492,-10762760.896427913,-270011951.7267826
58,-75333.63513584799,-91333024.76358522,-220140638.09795314,7989827.626684703
59,-75333.634617094,109310299.34993666,4799460.521337394,236807937.2437349
60,-75333.629218105,-147554181.5569476,185431245.82679138,-58440225.62077041
61,-75333.63193149099,-41668858.91858414,78805258.26988526,252082608.07447922
62,-75333.62529565199,-120126356.23525853,161204119.89806846,142508612.49394402
63,-75332.62518463799,-72964110.97701159,-180020633.79345757,-161875820.35724202
64,-75332.62842624,8795442.70249056,-10762919.274023956,-270008392.000122
65,-75332.63513806599,-91331689.25861329,-220137795.37945822,7990027.673450304
66,-75332.63461814799,109308560.55293173,4799455.352428047,236804962.32796374
67,-75332.62921664599,-147552390.2380441,185428790.90816295,-58439155.56038655
68,-75332.63193286,-41668183.42245385,78803930.47041103,252079404.2711632
69,-75332.625295818,-120124776.41952747,161201780.96015617,142506994.39744854
70,-75331.625185206,-72963145.7607963,-180018495.00222105,-161873444.1707269
71,-75331.628424048,8795172.443121552,-10763077.651605127,-270004832.2737737
72,-75331.63514037,-91330353.75375712,-220134952.66120777,7990227.720195904
73,-75331.634619184,109306821.75589181,4799450.183518607,236801987.41214
74,-75331.629215044,-147550598.9188882,185426335.98918352,-58438085.49984971
75,-75331.631934237,-41667507.92632896,78802602.6709484,252076200.46787095
76,-75331.62529589,-120123196.60364977,161199442.0220249,142505376.30080003
77,-75330.62518577199,-72962180.54458092,-180016356.2109793,-161871067.98420793
78,-75330.628421659,8794902.183697436,-10763236.029216575,-270001272.5467232
79,-75330.63514267899,-91329018.24890855,-220132109.9429715,7990427.766937714
80,-75330.634620328,109305082.95903595,4799445.014609725,236799012.49663848
81,-75330.629213668,-147548807.6001409,185423881.07075885,-58437015.43955468
82,-75330.631935411,-41666832.43006694,78801274.87121716,252072996.66392648
83,-75330.625295881,-120121616.78764595,161197103.08370507,142503758.20401952
84,-75329.62841943199,8794631.924315238,-10763394.40680143,-269997712.8202484
85,-75329.635144947,-91327682.74400617,-220129267.22461867,7990627.81368493
86,-75329.634621333,109303344.16193464,4799439.845700125,236796037.58072436
87,-75329.629212132,-147547016.28111067,185421426.15194142,-58435945.37908843
88,-75329.631936847,-41666156.933981895,78799947.07183471,252069792.86081952
89,-75329.62529629399,-120120036.97231068,161194764.14637324,142502140.1079209
90,-75328.628417149,8794361.664916044,-10763552.784394221,-269994153.0935734
91,-75328.635147203,-91326347.2390887,-220126424.50623176,7990827.860431752
92,-75328.63462251099,109301605.36513044,4799434.676791419,236793062.66532582
93,-75328.62921056399,-147545224.9620268,185418971.2330454,-58434875.31858793
94,-75328.631938183,-41665481.4378293,78798619.27232042,252066589.0573903
95,-75328.625296457,-120118457.15658234,161192425.20845762,142500522.01141688
96,-75327.62518760099,-72959284.89607242,-180009939.83752874,-161863939.42496794
97,-75327.628414803,8794091.40549796,-10763711.161996063,-269990593.3666732
98,-75327.63514946999,-91325011.73418683,-220123581.7878761,7991027.907173581
99,-75327.634623529,109299866.56804432,4799429.507881886,236790087.74945226
100,-75327.629208931,-147543433.64283034,185416516.31398985,-58433805.25801791
101,-75327.63193958899,-41664805.94172399,78797291.4729,252063385.25418347
102,-75327.62529640499,-120116877.34051616,161190086.27004,142498903.91456398
103,-75326.628412598,8793821.146116128,-10763869.539574638,-269987033.6402739
104,-75326.635151791,-91323676.22935803,-220120739.06967396,7991227.953901813
105,-75326.63462462,109298127.77108139,4799424.338972731,236787112.8337968
106,-75326.629207372,-147541642.32377008,185414061.39511594,-58432735.19752705
107,-75326.631940779,-41664130.44547279,78795963.67319372,252060181.4502828
108,-75326.62529673,-120115297.52504747,161187747.33250517,142497285.8183202
109,-75325.62518882299,-72957354.4637453,-180005662.25522938,-161859187.05215228
110,-75325.628410244,8793550.886692155,-10764027.917175883,-269983473.9133433
111,-75325.63515407899,-91322340.72448607,-220117896.351378,7991428.000633852
112,-75325.63462572299,109296388.9741356,4799419.170063637,236784137.9181779
113,-75325.62920582399,-147539851.00473323,185411606.47626904,-58431665.137047976
114,-75325.631942322,-41663454.94946003,78794635.8739571,252056977.6475112
115,-75325.625296671,-120113717.70897399,161185408.3940731,142495667.72145414
116,-75324.62518931099,-72956389.2474658,-180003523.46381524,-161856810.86545357
117,-75324.62840793899,8793280.627279561,-10764186.294768436,-269979914.1865862
118,-75324.63515625699,-91321005.21946816,-220115053.63276935,7991628.047385102
119,-75324.634626831,109294650.17719479,4799414.00115457,236781163.00257495
120,-75324.62920430899,-147538059.68575928,185409151.55750316,-58430595.0766042
121,-75324.63194381399,-41662779.4534128,78793308.07465366,252053773.84457436
122,-75324.625296781,-120112137.89316934,161183069.45603722,142494049.62486058
123,-75323.62518993899,-72955424.03132331,-180001384.67269963,-161854434.67908844
124,-75323.62840581,8793010.367912678,-10764344.67233218,-269976354.46045476
125,-75323.635158618,-91319669.71469556,-220112210.91468093,7991828.094096949
126,-75323.63462785899,109292911.38011113,4799408.832245088,236778188.0867348
127,-75323.62920278299,-147536268.3667693,185406696.63871026,-58429525.01614866
128,-75323.63194489799,-41662103.95708999,78791980.2748094,252050570.04032847
129,-75323.62529688199,-120110558.07735233,161180730.51798117,142492431.52825156
130,-75322.625190501,-72954458.81511898,-179999245.8814419,-161852058.49256745
131,-75322.628403461,8792740.108484475,-10764503.049929839,-269972794.7335392
132,-75322.635160922,-91318334.20984778,-220109368.19643044,7992028.140817407
133,-75322.634628993,109291172.58320808,4799403.663336155,236775213.17121097
134,-75322.62920129599,-147534477.04785293,185404241.7200131,-58428454.95573485
135,-75322.63194627999,-41661428.46096848,78790652.4753618,252047366.23703548
136,-75322.625296994,-120108978.26155458,161178391.57995188,142490813.43165937
137,-75321.625191221,-72953493.59906901,-179997107.09052116,-161849682.3064228
138,-75321.628401157,8792469.849066563,-10764661.427519439,-269969235.0067829
139,-75321.63516321499,-91316998.70498621,-220106525.47814867,7992228.1875372715
140,-75321.6346301,109289433.78625436,4799398.494427082,236772238.25560775
141,-75321.629199797,-147532685.72891882,185401786.80128652,-58427384.89530821
142,-75321.631947687,-41660752.96486385,78789324.6759483,252044162.43382072
143,-75321.625297205,-120107398.4459151,161176052.64215502,142489195.33522648
144,-75320.62519172099,-72952528.38280855,-179994968.29912895,-161847306.1197563
145,-75320.628398916,8792199.589663822,-10764819.805098128,-269965675.2802499
146,-75320.635165496,-91315663.2001096,-220103682.75983286,7992428.23425674
147,-75320.6346312,109287694.98928472,4799393.325517973,236769263.33998466
148,-75320.629198246,-147530894.40989524,185399331.88243225,-58426314.83482592
149,-75320.631949038,-41660077.46872139,78787996.8764614,252040958.6304247
150,-75320.625297368,-120105818.63020164,161173713.70424682,142487577.23871496
151,-75319.62519243399,-72951563.16675556,-179992829.50819138,-161844929.9335969
152,-75319.628396602,8791929.330239486,-10764978.18268745,-269962115.5534561
153,-75319.635167772,-91314327.6952272,-220100840.04150277,7992628.280974416
154,-75319.634632292,109285956.19229747,4799388.156608823,236766288.4243387
155,-75319.62919666899,-147529103.0908288,185396876.96351415,-58425244.774315804
156,-75319.631950415,-41659401.9725965,78786669.07700993,252037754.82711008
157,-75319.625297386,-120104238.81426096,161171374.76600042,142485959.14196792
158,-75318.625192931,-72950597.95049593,-179990690.7167909,-161842553.74692518
159,-75318.62839435099,8791659.070830315,-10765136.560265863,-269958555.82688564
160,-75318.63517013,-91312992.19045527,-220097997.32340583,7992828.327672893
161,-75318.634633353,109284217.39525256,4799382.987699511,236763313.5086014
162,-75318.629195117,-147527311.77181092,185394422.04465744,-58424174.71383245
163,-75318.631951712,-41658726.47641757,78785341.27745317,252034551.0235373
164,-75318.625297558,-120102658.99856545,161169035.82811517,142484341.0454691
165,-75317.62519360299,-72949632.73440708,-179988551.92576376,-161840177.5606702
166,-75317.62839200499,8791388.811393606,-10765294.937858388,-269954996.09997606
167,-75317.635172364,-91311656.68551865,-220095154.60495636,7993028.374393384
168,-75317.634634495,109282478.59834479,4799377.818790619,236760338.59310603
169,-75317.629193606,-147525520.4528702,185391967.12590137,-58423104.653392956
170,-75317.63195308899,-41658050.98029266,78784013.47800355,252031347.22021896
171,-75317.62529766,-120101079.1827612,161166696.8900671,142482722.9488561
172,-75316.625194125,-72948667.51817532,-179986413.1344149,-161837801.37405977
173,-75316.62838970899,8791118.551968547,-10765453.315442065,-269951436.3732436
174,-75316.635174628,-91310321.18062302,-220092311.88659218,7993228.42110508
175,-75316.63463555,109280739.80128202,4799372.649881278,236757363.67735276
176,-75316.629192068,-147523729.13388482,185389512.20707902,-58422034.59292458
177,-75316.63195445,-41657375.484156966,78782685.67853364,252028143.41684753
178,-75316.625297872,-120099499.36713262,161164357.95227724,142481104.85242018
179,-75315.625194703,-72947702.30199948,-179984274.3431849,-161835425.18758327
180,-75315.62838749199,8790848.292562976,-10765611.693012299,-269947876.6467914
181,-75315.63517693,-91308985.67577909,-220089469.168336,7993428.467806379
182,-75315.634636602,109279001.00421031,4799367.48097192,236754388.76159155
183,-75315.629190572,-147521937.8149784,185387057.2883598,-58420964.532501146
184,-75315.63195580199,-41656699.988015175,78781357.8790527,252024939.61344534
185,-75315.625298047,-120097919.55144744,161162019.01440176,142479486.75592345
186,-75314.625195277,-72946737.08582163,-179982135.55194536,-161833049.00109825
187,-75314.628385255,8790578.033150138,-10765770.070584765,-269944316.9202671
188,-75314.63517919199,-91307650.17088266,-220086626.44996613,7993628.514512888
189,-75314.634637734,109277262.20727395,4799362.312062977,236751413.8460692
190,-75314.629188957,-147520146.49586254,185384602.3693484,-58419894.47195037
191,-75314.63195714999,-41656024.4918707,78780030.07956739,252021735.8100285
192,-75314.625298128,-120096339.7356156,161159680.0763074,142477868.65927365
193,-75313.625195936,-72945771.86972767,-179979996.76088673,-161830672.8148161
194,-75313.628382885,8790307.773699496,-10765928.448177366,-269940757.1932684
195,-75313.63518150899,-91306314.66606061,-220083783.7317526,7993828.5612055985
196,-75313.63463881699,109275523.41024868,4799357.14315378,236748438.930402
197,-75313.62918752899,-147518355.17708537,185382147.45079607,-58418824.41159968
198,-75313.63195845399,-41655348.995696485,78778702.28002456,252018532.00646883
199,-75313.625298291,-120094759.91991517,161157341.1384057,142476250.5627556
200,-75312.62519651299,-72944806.65355644,-179977857.96965176,-161828296.62834004
201,-75312.628380677,8790037.514290765,-10766086.825743383,-269937197.4668454
202,-75312.63518379499,-91304979.16119811,-220080941.01345098,7994028.607901717
203,-75312.63463992,109273784.61325449,4799351.974244687,236745464.01479527
204,-75312.629185917,-147516563.85798237,185379692.5317921,-58417754.351052135
205,-75312.63195989399,-41654673.49961415,78777374.48066327,252015328.203343
206,-75312.62529839699,-120093180.10412656,161155002.20037162,142474632.4661444
207,-75311.62519715399,-72943841.43744886,-179975719.17855272,-161825920.442017
208,-75311.62837842299,8789767.254867746,-10766245.20331575,-269933637.7402578
209,-75311.63518617,-91303643.6564554,-220078098.29540235,7994228.654577236
210,-75311.63464095899,109272045.81614524,4799346.805335262,236742489.09899908
211,-75311.629184412,-147514772.53907472,185377237.61305076,-58416684.29061906
